starttime	seconds	ctime	dtime	ttime	wait
Fri Dec 15 14:48:47 2017	1513345727	46	267	313	222
Fri Dec 15 14:48:49 2017	1513345729	46	267	313	222
Fri Dec 15 14:46:34 2017	1513345594	47	267	313	222
Fri Dec 15 14:44:23 2017	1513345463	47	267	313	222
Fri Dec 15 14:46:33 2017	1513345593	45	268	313	221
Fri Dec 15 14:49:37 2017	1513345777	47	267	313	222
Fri Dec 15 14:49:15 2017	1513345755	46	268	314	223
Fri Dec 15 14:48:03 2017	1513345683	47	267	314	222
Fri Dec 15 14:49:37 2017	1513345777	47	266	314	223
Fri Dec 15 14:46:10 2017	1513345570	50	263	314	220
Fri Dec 15 14:46:32 2017	1513345592	45	268	314	223
Fri Dec 15 14:44:36 2017	1513345476	47	266	314	222
Fri Dec 15 14:47:49 2017	1513345669	47	267	314	222
